age_yrBP,warming_count_20k,cold_fraction_20k,mean_cold_duration_yr,mean_warm_duration_yr,pre_phase_like,lr04_10k,co2_10k,mean_cold_duration_kyr_raw,mean_cold_duration_kyr,Time
755000.0,6.0,0.571072319201995,1540.0,1480.0,0.008924451884148069,4.4825,202.81164673082736,1.54,1.54,35
754000.0,6.0,0.5211970074812967,1540.0,1480.0,-0.0023547664356226438,4.5125,199.45194656198325,1.54,1.54,36
753000.0,6.0,0.4713216957605985,1540.0,1480.0,-0.013145187316268122,4.5455000000000005,196.70359533295021,1.54,1.54,37
752000.0,6.0,0.42144638403990026,1540.0,1480.0,-0.02099593385014998,4.566,194.5583005323262,1.54,1.54,38
751000.0,5.0,0.38403990024937656,1540.0,1350.0,-0.024903480717150216,4.574,192.8571322701458,1.54,1.54,39
750000.0,5.0,0.38403990024937656,1540.0,1350.0,-0.023955116240305264,4.5745000000000005,191.73260260998566,1.54,1.54,40
749000.0,5.0,0.3865336658354115,1637.5,2460.0,-0.019391557855487473,4.5675,190.19290600086597,1.6375,1.6375,41
748000.0,5.0,0.3690773067331671,1480.0,2900.0,-0.010970366523503392,4.5485,189.29265976981998,1.48,1.48,42
747000.0,5.0,0.35910224438902744,1250.0,2570.0,-0.00045992111846991803,4.5175,188.8266752071746,1.25,1.25,43
746000.0,5.0,0.35910224438902744,1250.0,2570.0,0.010628099644642059,4.4775,188.11302435591963,1.25,1.25,44
745000.0,4.0,0.35910224438902744,1250.0,2570.0,0.020593057211490285,4.4285000000000005,187.59855351882334,1.25,1.25,45
744000.0,5.0,0.3865336658354115,1550.0,2775.0,0.02838675926556192,4.385,187.50426435018102,1.55,1.55,46
743000.0,5.0,0.3740648379052369,1825.0,2775.0,0.029643855229454886,4.3469999999999995,188.69559664869,1.825,1.825,47
742000.0,4.0,0.3640897755610973,1825.0,2950.0,0.026508649281248933,4.304,190.74647598382597,1.825,1.825,48
741000.0,4.0,0.40399002493765584,1825.0,2875.0,0.019910266036335063,4.256,193.6450397464273,1.825,1.825,49
740000.0,4.0,0.42643391521197005,1983.3333333333333,2875.0,0.010738940342574103,4.2155000000000005,196.31380777849466,1.9833333333333332,1.9833333333333332,50
739000.0,3.0,0.43640897755610975,1983.3333333333333,3600.0,0.00063405054505772,4.1825,198.54105762643047,1.9833333333333332,1.9833333333333332,51
738000.0,3.0,0.4613466334164589,1800.0,3600.0,-0.009365080672212547,4.1585,200.59935468056477,1.8,1.8,52
737000.0,4.0,0.4513715710723192,2733.3333333333335,3600.0,-0.01828841201142396,4.1435,202.91912877638123,2.7333333333333334,2.7333333333333334,53
736000.0,3.0,0.4089775561097257,2733.3333333333335,1950.0,-0.024925022606845523,4.1385000000000005,205.52886207993524,2.7333333333333334,2.7333333333333334,54
735000.0,4.0,0.43640897755610975,2187.5,1750.0,-0.028865063122887183,4.1434999999999995,208.07081966071755,2.1875,2.1875,55
734000.0,4.0,0.4688279301745636,2187.5,1475.0,-0.029683601211298545,4.1435,210.4356718088065,2.1875,2.1875,56
733000.0,5.0,0.5087281795511222,2040.0,1475.0,-0.027395646121105097,4.1385,211.4645674317418,2.04,2.04,57
