age_yrBP,co2_1k,co2_10k
260000.0,206.195862676938,206.73013092397727
261000.0,208.56801441152967,209.15633334242602
262000.0,208.67040839802522,209.55365542193346
263000.0,215.99767160157631,210.54724846882164
264000.0,223.63918824451665,209.49195836977032
265000.0,220.53048707349754,207.8226259908015
266000.0,202.34503414609108,206.64803486260195
267000.0,211.6053349378259,205.65610323747993
268000.0,193.44092402644668,203.44853029697748
269000.0,187.23333439156798,200.79574598451563
270000.0,194.4499513949422,197.76429994980995
271000.0,198.6486981603096,195.1181290691441
272000.0,186.59467899300114,194.6231638113323
273000.0,189.46982847695764,192.9769801996456
274000.0,193.3247278974598,193.38959640964737
275000.0,194.06877826683893,194.97777954410893
276000.0,197.395381567973,196.24623735996656
277000.0,195.14349882095914,197.70666304518883
278000.0,197.56708612646435,200.9994393265707
279000.0,203.11516573618357,204.59044718356984
280000.0,207.13452955351826,208.20860714782944
281000.0,213.25295501253265,211.80707970600764
282000.0,219.5224418068196,214.8513490451397
283000.0,225.37990704694897,218.21086573057846
284000.0,229.50632754005602,221.51730801581462
285000.0,230.05350384862103,224.4524106484974
286000.0,227.83807495929344,227.19104823224433
287000.0,228.7386656753465,227.84145493960813
288000.0,230.631508978826,227.26843151021663
289000.0,232.46619206301116,225.45551846970972
290000.0,234.52090539098825,223.13527313724407
291000.0,219.7570220861706,221.15949301868267
292000.0,213.79220751290424,219.66304883387414
293000.0,207.2507766418799,218.13567646865854
294000.0,206.30387421539987,216.6322678072147
295000.0,210.2957026630067,215.41668818165695
296000.0,212.8736331112082,214.96120060232602
297000.0,213.46494202319062,216.58113878942203
298000.0,215.59742236438746,219.07885391891472
299000.0,220.31039580743334,221.98750339441335
300000.0,229.96602959767938,225.334080599442
301000.0,235.9564039571308,228.36951428753068
302000.0,238.7693588078311,232.05794481549378
303000.0,236.33727139686587,235.39100930500723
304000.0,239.76964626568636,237.12880520187724
305000.0,240.65003954389368,237.8005855805157
306000.0,249.7579383908391,237.4269728548067
307000.0,246.7955869183248,237.26654794137684
308000.0,232.97538133308754,237.2124935697907
309000.0,227.02819959381802,237.6360374536536
310000.0,226.22990234059031,238.7481080664232
311000.0,234.35215482283158,240.3610811729308
312000.0,238.2288150919694,240.6505604977831
313000.0,240.57271023549555,242.6779522457703
314000.0,250.890352393382,244.4934914452152
315000.0,256.77977060896984,246.13265067862002
316000.0,252.65273163936223,247.20078805861286
317000.0,267.0695043981965,249.28429382012905
318000.0,251.13077332753682,250.47467752582446
319000.0,243.41979192786607,251.94156002421119
320000.0,236.91127614051857,252.82435882650293
321000.0,255.1872124379937,253.17646986897427
322000.0,250.13265214892363,254.0925484997496
323000.0,255.24153521936245,253.89910414756582
324000.0,259.7183404162998,255.3680225135717
325000.0,260.30088103368274,258.1001652090904
326000.0,261.81351794711543,261.892334832279
327000.0,265.1350608763592,263.1126714207279
328000.0,265.8199569875954,265.1558851345476
329000.0,270.741218883053,266.9060857546274
330000.0,274.832972372405,269.17890634162717
331000.0,267.3905783224822,272.82194975217305
332000.0,270.5647892871205,274.78672813073734
333000.0,272.7435414201605,275.9682134895066
334000.0,282.4465462862978,275.40967128729574
335000.0,296.7313151391418,272.52356447272183
336000.0,281.46130173275793,268.9886864103905
337000.0,276.9499144640514,265.87445566131345
338000.0,260.2345349654877,263.2159696136408
339000.0,241.88015073731316,260.0420122384809
340000.0,239.48419174909196,251.8992780286895
341000.0,236.24827083171186,242.74579144893727
342000.0,243.97992881039397,235.08938526443467
343000.0,241.0039676685612,228.26834548891762
344000.0,201.01920418838412,223.6747267767229
345000.0,205.19644934161934,221.44343009624745
346000.0,204.89723988773196,219.55215563650341
347000.0,208.73951670888118,218.0160033442484
348000.0,214.29834784354014,215.62215967061766
349000.0,219.56718393255846,213.19886388824344
350000.0,220.57144715165177,214.26370989005142
351000.0,220.8867479091618,214.67570750871747
352000.0,220.04149207408665,215.01351604035852
353000.0,216.7710098448189,214.45967506260234
354000.0,211.66766420646357,212.84252914409794
355000.0,209.31642552827992,210.19107778940935
356000.0,208.2753252041429,207.02589356329085
357000.0,203.20110693131943,203.54218373606435
358000.0,198.12688865849597,200.12707389672806
359000.0,193.0526703856725,197.2838768178676
360000.0,188.919604890467,195.5382111243539
