age_yrBP,pre,ecc,ecc_safe,pre_envelope_proxy,pre_phase_like_raw,pre_phase_like,pre_phase_like_z,pre_z,pre_deamp_unit
9600.0,-0.016466,0.019377,0.019377,0.7013029315960911,-0.02347915466790525,-0.02530076757379827,-1.2140430463230836,-0.7898852284738958,-0.849770346286835
9700.0,-0.016759,0.019388,0.019388,0.7017010495837858,-0.023883390241386426,-0.025736365466242354,-1.234877221021261,-0.8038991006538433,-0.864400660202187
9800.0,-0.017041,0.019399,0.019399,0.7020991675714803,-0.024271500077323573,-0.02615458651768308,-1.2548802802630825,-0.8173868547656018,-0.8784473426465282
9900.0,-0.01731,0.019411,0.019411,0.7025334781035107,-0.02463939518829529,-0.026551024499624386,-1.2738414789190615,-0.8302528329785913,-0.8917624027613208
10000.0,-0.017566,0.019425,0.019425,0.7030401737242129,-0.024985769884169878,-0.02692427242092827,-1.2916935221292452,-0.8424970352928117,-0.9042985842985841
10100.0,-0.017815,0.019442,0.019442,0.7036554469779226,-0.025317788807735827,-0.027282050787912137,-1.3088056733362836,-0.8544064352000029,-0.9163151939100915
10200.0,-0.01805,0.01946,0.01946,0.7043069127759682,-0.0256280318602261,-0.027616363818916266,-1.324795502976498,-0.8656462302931349,-0.9275436793422405
10300.0,-0.018271,0.019479,0.019479,0.7049945711183496,-0.025916511627906976,-0.02792722507670312,-1.3396636597421046,-0.876216420572208,-0.937984496124031
10400.0,-0.018478,0.019498,0.019498,0.7056822294607312,-0.02618459021438096,-0.02821610234267906,-1.3534803460256524,-0.8861170060372223,-0.9476869422504872
10500.0,-0.018669,0.019517,0.019517,0.7063698878031126,-0.026429495824153305,-0.02848000877363926,-1.3661027043565142,-0.8952523288575979,-0.9565506993902753
10600.0,-0.018844,0.019536,0.019536,0.7070575461454941,-0.026651296068796064,-0.028719017226749754,-1.3775342194139115,-0.9036223890333344,-0.9645782145782145
10700.0,-0.019003,0.019553,0.019553,0.7076728193992038,-0.02685280468470311,-0.02893615974006822,-1.3879199102892616,-0.9112271865644322,-0.9718713240934894
10800.0,-0.019144,0.01957,0.01957,0.7082880926529136,-0.027028549821154827,-0.029125539933370855,-1.3969777595123227,-0.9179710636203117,-0.9782319877363311
10900.0,-0.019268,0.019584,0.019584,0.7087947882736158,-0.027184172794117643,-0.02929323679996452,-1.4049985187390168,-0.9239018491162622,-0.9838643790849673
11000.0,-0.019374,0.019597,0.019597,0.709265291349982,-0.027315590141348163,-0.029434850065198023,-1.4117717276057995,-0.928971714136994,-0.9886207072511098
11100.0,-0.019458,0.019605,0.019605,0.7095548317046689,-0.027422827850038252,-0.029550407732460354,-1.4172987254843907,-0.9329893430213476,-0.9925019127773527
11200.0,-0.019524,0.01961,0.01961,0.7097357944263482,-0.02750882814890362,-0.0296430803011131,-1.4217311539201825,-0.9361460514304826,-0.9956144824069353
11300.0,-0.019572,0.019614,0.019614,0.7098805646036916,-0.027570835117773015,-0.029709898034950204,-1.424926973651742,-0.9384418393643988,-0.9978586723768736
11400.0,-0.019603,0.019616,0.019616,0.7099529496923634,-0.027611688927406192,-0.029753921457286024,-1.4270325661894145,-0.9399245357383865,-0.9993372756933114
11500.0,-0.019616,0.019617,0.019617,0.7099891422366993,-0.02762859152775654,-0.029772135433423823,-1.427903720911202,-0.9405463116371556,-0.9999490238058828
11600.0,-0.019613,0.019617,0.019617,0.7099891422366993,-0.02762436611102615,-0.029767582190851415,-1.427685944257912,-0.9404028248912858,-0.9997960952235306
11700.0,-0.019594,0.019616,0.019616,0.7099529496923634,-0.027599012030995105,-0.029740261033212388,-1.4263792029235722,-0.9394940755007772,-0.9988784665579119
