frequency_cpy,period_kyr,power
0.0001953125,5.12,32.52780322350538
0.00019140625,5.224489795918367,91.47479759706644
0.0001875,5.333333333333333,132.79397633795205
0.00018359375,5.446808510638298,263.8395464201811
0.0001796875,5.565217391304348,247.99883267562063
0.00017578125,5.688888888888889,238.4774617911493
0.000171875,5.818181818181819,273.0349876329875
0.00016796875000000001,5.953488372093023,270.95474739067186
0.0001640625,6.095238095238095,158.844020212677
0.00016015625,6.2439024390243905,184.34459389488606
0.00015625,6.4,125.23172542794445
0.00015234375,6.564102564102565,119.75351212223563
0.0001484375,6.736842105263158,246.7527012471384
0.00014453125,6.918918918918919,100.1721244053671
0.00014062500000000002,7.111111111111111,229.4749439279376
0.00013671875,7.314285714285714,231.82810671647485
0.0001328125,7.529411764705882,113.17222560990781
0.00012890625,7.757575757575757,145.70975578533796
0.000125,8.0,263.352028852142
0.00012109375,8.258064516129032,479.36378649709394
0.0001171875,8.533333333333333,409.18131898655605
0.00011328125,8.827586206896552,344.8448010422111
0.000109375,9.142857142857142,342.1764952937899
0.00010546875,9.481481481481481,236.251205948701
0.00010156250000000001,9.846153846153845,422.8682104651701
9.765625e-05,10.24,602.565109524206
9.375e-05,10.666666666666666,490.69253086619864
8.984375e-05,11.130434782608695,407.43681407264444
8.59375e-05,11.636363636363638,1012.9703788095476
8.203125e-05,12.19047619047619,2218.84097144297
7.8125e-05,12.8,360.6736194227459
7.421875e-05,13.473684210526317,774.5937426170194
7.031250000000001e-05,14.222222222222221,726.3702831254972
6.640625e-05,15.058823529411764,591.6291511947047
6.25e-05,16.0,499.35981868767055
5.859375e-05,17.066666666666666,451.8726625638743
5.46875e-05,18.285714285714285,427.93188065381855
5.0781250000000004e-05,19.69230769230769,551.0316920876239
4.6875e-05,21.333333333333332,1623.8649449522238
4.296875e-05,23.272727272727277,4159.100360464403
3.90625e-05,25.6,4365.246271813876
3.5156250000000004e-05,28.444444444444443,4449.279230377982
3.125e-05,32.0,3598.7407918667873
2.734375e-05,36.57142857142857,12979.870613040686
2.34375e-05,42.666666666666664,13968.442349658502
1.953125e-05,51.2,6741.426369902246
1.5625e-05,64.0,9866.352437373906
1.171875e-05,85.33333333333333,21763.14585003857
7.8125e-06,128.0,26774.3028844804
3.90625e-06,256.0,25435.686236854828
