age_yrBP,filtered_value,mcv_state,segment_id,is_transition_age
31100,-17.593827156137976,0,14,0
31150,-18.781948518257657,0,14,0
31200,-20.82749503225064,0,14,0
31250,-15.080366461334522,0,14,0
31300,-16.390456545801285,0,14,0
31350,-13.507653002301035,0,14,0
31400,-6.581837528264735,0,14,0
31450,-4.96288581146446,0,14,0
31500,-7.600667544656156,0,14,0
31550,-20.795046445244456,0,14,0
31600,-18.19588027977254,0,14,0
31650,-16.253020893244457,0,14,0
31700,-14.86631424316094,0,14,0
31750,-14.785600438172505,0,14,0
31800,-11.410713781290038,0,14,0
31850,-1.4914828173568644,1,15,1
31900,-2.0277303846566497,1,15,0
31950,-2.0692736705791077,1,15,0
32000,3.38407572900449,1,15,0
32050,4.782511746837411,1,15,0
32100,14.626233777806025,1,15,0
32150,24.565446609260853,1,15,0
32200,35.30036034835952,1,15,0
32250,42.28119034655718,1,15,0
32300,59.60815712144654,1,15,0
32350,59.731486275996986,1,15,0
32400,68.60140841541084,1,15,0
32450,64.81815906163237,1,15,0
32500,64.73197856550182,1,15,0
32550,67.39311201663376,1,15,0
32600,47.101809150851935,1,15,0
32650,-10.291675745148154,0,16,1
32700,-29.337083931932717,0,16,0
32750,-39.13415231859419,0,16,0
32800,-40.68261356750961,0,16,0
32850,-42.482196202850055,0,16,0
32900,-34.28262472319088,0,16,0
32950,-37.633619718471145,0,16,0
33000,-36.2848979914677,0,16,0
33050,-39.18617268405536,0,16,0
33100,-37.73715340846794,0,16,0
33150,-33.787546383547266,0,16,0
33200,-36.28705457609161,0,16,0
33250,-29.48537784748745,0,16,0
33300,-24.23221310552048,0,16,0
33350,-26.027254461336174,0,16,0
33400,-21.520193391505245,0,16,0
33450,-10.560718905184883,0,16,0
33500,2.7514822837331074,1,17,1
33550,17.516725579625557,1,17,0
33600,32.735328323489234,1,17,0
33650,45.35760960668851,1,17,0
33700,35.8338900803547,1,17,0
33750,38.36449176053758,1,17,0
33800,58.049737829074125,1,17,0
33850,46.389952430333,1,17,0
33900,-15.414539536052182,0,18,1
33950,-33.76341262646512,0,18,0
34000,-40.50634106881105,0,18,0
34050,-41.24299898222169,0,18,0
34100,-40.973060601084015,0,18,0
34150,-43.696200503493564,0,18,0
34200,-42.26209384410783,0,18,0
34250,-42.470416591370906,0,18,0
34300,-40.47084576910201,0,18,0
34350,-40.313059702243876,0,18,0
34400,-38.74673826673326,0,18,0
34450,-47.7715631432544,0,18,0
34500,-37.73721807478407,0,18,0
34550,-27.593389127376778,0,18,0
34600,-32.98976495418371,0,18,0
34650,-25.626037062340174,0,18,0
34700,-29.101900082200515,0,18,0
34750,-23.76705203868032,0,18,0
34800,-38.12119462413292,0,18,0
34850,-0.3640334723730234,1,19,1
34900,21.854721566668573,1,19,0
34950,65.08535615219365,1,19,0
35000,67.37815117811807,1,19,0
35050,42.68338249955032,1,19,0
35100,34.4513206607213,1,19,0
35150,40.33223062484531,1,19,0
35200,35.02637150622024,1,19,0
35250,44.83399630496296,1,19,0
35300,56.50535164473636,1,19,0
35350,63.99067751375,1,19,0
35400,47.29020700922302,1,19,0
35450,51.254166085544206,1,19,0
35500,60.132773306428604,1,19,0
35550,61.97623960095169,1,19,0
35600,57.234768023548874,1,19,0
35650,-13.141446481947554,0,20,1
35700,-46.10221731433124,0,20,0
35750,-57.59736644325157,0,20,0
35800,-61.72672463370017,0,20,0
35850,-62.04013166699082,0,20,0
35900,-61.28743655827061,0,20,0
35950,-59.81849777072743,0,20,0
36000,-55.18318342640512,0,20,0
36050,-52.83137151363123,0,20,0
36100,-58.612950090946505,0,20,0
36150,-54.527817487250914,0,20,0
36200,-48.62588249808739,0,20,0
36250,-54.40706457782276,0,20,0
36300,-50.62129402739585,0,20,0
36350,-50.76851217711916,0,20,0
36400,-43.39867156411484,0,20,0
36450,-41.81173610398791,0,20,0
36500,-40.70768125625973,0,20,0
36550,-35.38649418288008,0,20,0
36600,-37.14817389922624,0,20,0
36650,-21.392731417007163,0,20,0
36700,-21.370189878353486,0,20,0
36750,-7.780584680336609,0,20,0
36800,20.376036410812212,1,21,1
36850,30.44961315648103,1,21,0
36900,34.74007275431684,1,21,0
36950,40.74732975963302,1,21,0
37000,33.67128602030231,1,21,0
37050,13.5118306257848,1,21,0
37100,21.568839871099566,1,21,0
37150,36.842177236411615,1,21,0
37200,49.381693382915486,1,21,0
37250,52.337226165743,1,21,0
37300,75.75860066437716,1,21,0
37350,90.74562923119804,1,21,0
37400,87.84811155859867,1,21,0
37450,88.86583476515348,1,21,0
37500,78.64857350134278,1,21,0
37550,85.64609007516364,1,21,0
37600,87.65813459793479,1,21,0
37650,78.58444515033752,1,21,0
37700,69.52474796875174,1,21,0
37750,71.02875765187441,1,21,0
37800,78.94617738760279,1,21,0
37850,82.9266992000697,1,21,0
37900,73.72000421649804,1,21,0
37950,78.82576295377666,1,21,0
38000,78.24363562427718,1,21,0
38050,69.07327246038261,1,21,0
38100,77.16431405738945,1,21,0
38150,70.11639173408741,1,21,0
38200,93.02912791043116,1,21,0
38250,103.65213650147494,1,21,0
38300,96.68502332680505,1,21,0
38350,59.377386534636656,1,21,0
38400,5.7288170395309095,1,21,0
38450,-34.861101027226255,0,22,1
38500,-28.89278985576732,0,22,0
38550,-30.46667748533703,0,22,0
38600,-30.333197322887116,0,22,0
38650,-30.392787653799047,0,22,0
38700,-33.89589114577119,0,22,0
38750,-27.242954347128034,0,22,0
38800,-27.434427180550628,0,22,0
38850,-34.72076243321854,0,22,0
38900,-29.95241524444102,0,22,0
38950,-24.52984259187955,0,22,0
39000,-31.303502777303677,0,22,0
39050,-21.97385491272587,0,22,0
39100,-23.741358407956646,0,22,0
39150,-30.85647246045378,0,22,0
39200,-27.069655548310088,0,22,0
39250,-29.281364927291975,0,22,0
39300,-27.09205613263725,0,22,0
39350,-27.70218248639927,0,22,0
39400,-31.712194611127345,0,22,0
39450,-21.72253995079059,0,22,0
39500,11.716337700486335,0,22,0
39550,-44.39600133878332,0,22,0
39600,-40.60999218388728,0,22,0
39650,-47.02606494015923,0,22,0
39700,-51.244644269664406,0,22,0
39750,-51.41614896896587,0,22,0
39800,-45.74099155846456,0,22,0
39850,-42.569577883950714,0,22,0
39900,-48.45230673079635,0,22,0
39950,-46.43956945121021,0,22,0
40000,-40.08174960493336,0,22,0
40050,-37.22922261365264,0,22,0
40100,-49.432355429535995,0,22,0
40150,-39.791506218075924,0,22,0
40200,0.44297594448385524,1,23,1
40250,25.62075135895556,1,23,0
40300,21.391489976209186,1,23,0
40350,-20.69512834469395,0,24,1
40400,-39.789413593360266,0,24,0
40450,-35.79166538018375,0,24,0
40500,-43.702172723783185,0,24,0
40550,-41.72121385378476,0,24,0
40600,-42.049056029115874,0,24,0
40650,-45.28595537180115,0,24,0
40700,-36.982156716225035,0,24,0
40750,-31.98789347391569,0,24,0
40800,-29.153387513783642,0,24,0
40850,-29.778849057627404,0,24,0
40900,-26.564476590862455,0,24,0
40950,-29.7104567881926,0,24,0
41000,-19.816964453997272,0,24,0
41050,-12.78416247731721,0,24,0
41100,-10.112201801113258,0,24,0
41150,3.898778594637662,1,25,1
41200,29.848651696187645,1,25,0
41250,34.737302445819765,1,25,0
41300,31.5646277188669,1,25,0
41350,16.13053628795636,1,25,0
41400,30.73494877476169,1,25,0
41450,38.577797589797896,1,25,0
41500,34.20902686041029,1,25,0
41550,45.27859234705488,1,25,0
41600,48.28646134807042,1,25,0
41650,-3.6173874067611536,0,26,1
41700,-32.08296387366072,0,26,0
41750,-38.11026682343355,0,26,0
41800,-41.44928398102513,0,26,0
41850,-35.749992176081435,0,26,0
41900,-35.31235750435307,0,26,0
41950,-39.636335499850595,0,26,0
42000,-38.3218713175235,0,26,0
42050,-31.318899926406193,0,26,0
42100,-33.02734631303756,0,26,0
42150,-33.34712569488247,0,26,0
42200,-32.57814374331699,0,26,0
42250,-28.72029681592063,0,26,0
42300,-34.02347219781953,0,26,0
42350,-30.737548351603735,0,26,0
42400,-25.362395175450274,0,26,0
42450,-15.1478742689184,0,26,0
42500,-5.943839206109207,0,26,0
42550,-0.8001358155793525,1,27,1
42600,4.433397533632224,1,27,0
42650,13.256929640206444,1,27,0
42700,0.32063617359730756,1,27,0
42750,17.224699372571443,1,27,0
42800,17.31930773966848,1,27,0
42850,28.454655732112798,1,27,0
42900,32.28094344981896,1,27,0
42950,38.59837632086046,1,27,0
43000,58.75716478500481,1,27,0
43050,48.357523975864886,1,27,0
43100,43.74967340185621,1,27,0
43150,37.13383662647939,1,27,0
43200,37.0602409482521,1,27,0
43250,37.029117080759875,1,27,0
43300,42.64069883293832,1,27,0
43350,45.195222789812945,1,27,0
43400,40.99292799399738,1,27,0
43450,55.33405562807356,1,27,0
43500,54.51884869791391,1,27,0
43550,1.4975517171699693,1,27,0
43600,-27.429589607137764,0,28,1
43650,-32.71232868801249,0,28,0
43700,-37.20041837078267,0,28,0
43750,-37.74361124433879,0,28,0
43800,-39.79165995154242,0,28,0
43850,-29.694317498674778,0,28,0
43900,-30.85133756391545,0,28,0
43950,-33.16247480490189,0,28,0
44000,-33.42748516512484,0,28,0
44050,-33.796126179194296,0,28,0
44100,-32.46815727671734,0,28,0
44150,-33.39334008463971,0,28,0
44200,-32.42143872776696,0,28,0
44250,-30.40222012729671,0,28,0
44300,-32.685454297289375,0,28,0
44350,-40.370914638483406,0,28,0
44400,-35.70837822904461,0,28,0
44450,-30.997626112121278,0,28,0
44500,-27.438443579810794,0,28,0
44550,-6.730620453030729,0,28,0
44600,8.126048643241782,1,29,1
44650,29.381764009780667,1,29,0
44700,31.686720608407462,1,29,0
44750,-0.05889219668073076,1,29,0
44800,-15.304890890871931,0,30,1
44850,-10.20109805396908,0,30,0
44900,10.052657402460984,1,31,1
44950,7.95654000569573,1,31,0
45000,17.51070750095731,1,31,0
45050,8.41531063943683,1,31,0
45100,3.9704929758377996,1,31,0
45150,9.976390675828059,1,31,0
45200,7.4331323337896436,1,31,0
45250,1.490838801430776,1,31,0
45300,17.599623027574467,1,31,0
45350,14.259589909663015,1,31,0
45400,17.52083615726191,1,31,0
45450,14.533450167999796,1,31,0
45500,15.297511916444455,1,31,0
45550,15.413092856240556,1,31,0
45600,33.03025583590994,1,31,0
45650,33.699055028794156,1,31,0
45700,42.8195358772065,1,31,0
45750,26.1417350512318,1,31,0
45800,26.265680422558436,1,31,0
45850,32.441391053534936,1,31,0
45900,40.31887720176355,1,31,0
