amp_sigma,min_persistence_yr,f1_100,f1_200,f1_300,median_abs_age_error_yr_100,median_abs_age_error_yr_200,median_abs_age_error_yr_300,n_detected_100,n_detected_200,n_detected_300,precision_100,precision_200,precision_300,recall_100,recall_200,recall_300,n_detected,score_primary
0.23,100,0.20689655172413793,0.4413793103448276,0.5379310344827586,40.0,109.5,139.0,77.0,77.0,77.0,0.19480519480519481,0.4155844155844156,0.5064935064935064,0.22058823529411764,0.47058823529411764,0.5735294117647058,77.0,0.8740551724137929
0.23,110,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,120,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,130,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,140,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,150,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,200,0.1732283464566929,0.36220472440944884,0.47244094488188976,40.0,109.0,150.5,59.0,59.0,59.0,0.1864406779661017,0.3898305084745763,0.5084745762711864,0.16176470588235295,0.3382352941176471,0.4411764705882353,59.0,0.735075590551181
0.23,300,0.1487603305785124,0.34710743801652894,0.44628099173553715,50.0,119.0,151.0,53.0,53.0,53.0,0.16981132075471697,0.39622641509433965,0.5094339622641509,0.1323529411764706,0.3088235294117647,0.39705882352941174,53.0,0.6883603305785123
0.23,400,0.13675213675213674,0.3076923076923077,0.4102564102564103,46.0,124.0,155.5,49.0,49.0,49.0,0.16326530612244897,0.3673469387755102,0.4897959183673469,0.11764705882352941,0.2647058823529412,0.35294117647058826,49.0,0.6181418803418803
0.23,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.24,0,0.22695035460992907,0.46808510638297873,0.5673758865248226,40.0,109.0,129.5,73.0,73.0,73.0,0.2191780821917808,0.4520547945205479,0.547945205479452,0.23529411764705882,0.4852941176470588,0.5882352941176471,73.0,0.9340156028368793
0.24,80,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.24,90,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.24,100,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.24,110,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,120,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,130,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,140,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,150,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,200,0.19834710743801656,0.3966942148760331,0.512396694214876,40.5,103.0,150.0,53.0,53.0,53.0,0.22641509433962265,0.4528301886792453,0.5849056603773585,0.17647058823529413,0.35294117647058826,0.45588235294117646,53.0,0.8094214876033058
0.24,300,0.15652173913043477,0.3652173913043478,0.46956521739130436,50.0,119.0,151.0,47.0,47.0,47.0,0.19148936170212766,0.44680851063829785,0.574468085106383,0.1323529411764706,0.3088235294117647,0.39705882352941174,47.0,0.7274260869565217
0.24,400,0.14414414414414414,0.32432432432432434,0.43243243243243246,46.0,124.0,155.5,43.0,43.0,43.0,0.18604651162790697,0.4186046511627907,0.5581395348837209,0.11764705882352941,0.2647058823529412,0.35294117647058826,43.0,0.6549171171171171
0.24,500,0.1333333333333333,0.2666666666666666,0.38095238095238093,41.0,103.0,160.5,37.0,37.0,37.0,0.1891891891891892,0.3783783783783784,0.5405405405405406,0.10294117647058823,0.20588235294117646,0.29411764705882354,37.0,0.5567523809523809
0.25,0,0.22695035460992907,0.46808510638297873,0.5673758865248226,40.0,109.0,129.5,73.0,73.0,73.0,0.2191780821917808,0.4520547945205479,0.547945205479452,0.23529411764705882,0.4852941176470588,0.5882352941176471,73.0,0.9340156028368793
0.25,80,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.25,90,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.25,100,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.25,110,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.25,120,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.25,130,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.25,140,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.25,150,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.25,200,0.19834710743801656,0.3966942148760331,0.512396694214876,40.5,103.0,150.0,53.0,53.0,53.0,0.22641509433962265,0.4528301886792453,0.5849056603773585,0.17647058823529413,0.35294117647058826,0.45588235294117646,53.0,0.8094214876033058
0.25,300,0.15652173913043477,0.3652173913043478,0.46956521739130436,50.0,119.0,151.0,47.0,47.0,47.0,0.19148936170212766,0.44680851063829785,0.574468085106383,0.1323529411764706,0.3088235294117647,0.39705882352941174,47.0,0.7274260869565217
0.25,400,0.14414414414414414,0.32432432432432434,0.43243243243243246,46.0,124.0,155.5,43.0,43.0,43.0,0.18604651162790697,0.4186046511627907,0.5581395348837209,0.11764705882352941,0.2647058823529412,0.35294117647058826,43.0,0.6549171171171171
0.25,500,0.1333333333333333,0.2666666666666666,0.38095238095238093,41.0,103.0,160.5,37.0,37.0,37.0,0.1891891891891892,0.3783783783783784,0.5405405405405406,0.10294117647058823,0.20588235294117646,0.29411764705882354,37.0,0.5567523809523809
0.26,0,0.22695035460992907,0.46808510638297873,0.5673758865248226,40.0,109.0,129.5,73.0,73.0,73.0,0.2191780821917808,0.4520547945205479,0.547945205479452,0.23529411764705882,0.4852941176470588,0.5882352941176471,73.0,0.9340156028368793
0.26,80,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.26,90,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.26,100,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.26,110,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.26,120,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.26,130,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.26,140,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.26,150,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
