dt_yr,amp_sigma,min_persistence_yr,tol_yr,n_detected,n_ref,n_matched,recall,precision,f1,median_abs_age_error_yr,mean_abs_age_error_yr
50,0.21,130.0,300,71,68,34,0.5,0.4788732394366197,0.48920863309352514,144.5,140.2058823529412
50,0.21,140.0,100,71,68,13,0.19117647058823528,0.18309859154929578,0.18705035971223022,40.0,45.30769230769231
50,0.21,140.0,200,71,68,26,0.38235294117647056,0.36619718309859156,0.37410071942446044,104.0,100.6923076923077
50,0.21,140.0,300,71,68,34,0.5,0.4788732394366197,0.48920863309352514,144.5,140.2058823529412
50,0.21,150.0,100,71,68,13,0.19117647058823528,0.18309859154929578,0.18705035971223022,40.0,45.30769230769231
50,0.21,150.0,200,71,68,26,0.38235294117647056,0.36619718309859156,0.37410071942446044,104.0,100.6923076923077
50,0.21,150.0,300,71,68,34,0.5,0.4788732394366197,0.48920863309352514,144.5,140.2058823529412
50,0.21,200.0,100,61,68,11,0.16176470588235295,0.18032786885245902,0.17054263565891475,40.0,46.27272727272727
50,0.21,200.0,200,61,68,23,0.3382352941176471,0.3770491803278688,0.3565891472868217,109.0,106.47826086956522
50,0.21,200.0,300,61,68,30,0.4411764705882353,0.4918032786885246,0.46511627906976744,150.5,138.3
50,0.21,300.0,100,55,68,9,0.1323529411764706,0.16363636363636364,0.1463414634146341,50.0,52.22222222222222
50,0.21,300.0,200,55,68,21,0.3088235294117647,0.38181818181818183,0.34146341463414637,119.0,114.76190476190476
50,0.21,300.0,300,55,68,27,0.39705882352941174,0.4909090909090909,0.43902439024390244,151.0,143.7037037037037
50,0.21,400.0,100,51,68,8,0.11764705882352941,0.1568627450980392,0.13445378151260504,46.0,52.5
50,0.21,400.0,200,51,68,18,0.2647058823529412,0.35294117647058826,0.3025210084033613,124.0,114.5
50,0.21,400.0,300,51,68,24,0.35294117647058826,0.47058823529411764,0.4033613445378152,155.5,147.125
50,0.21,500.0,100,41,68,7,0.10294117647058823,0.17073170731707318,0.12844036697247704,41.0,55.57142857142857
50,0.21,500.0,200,41,68,14,0.20588235294117646,0.34146341463414637,0.2568807339449541,103.0,110.0
50,0.21,500.0,300,41,68,20,0.29411764705882354,0.4878048780487805,0.36697247706422015,160.5,150.5
50,0.22,0.0,100,85,68,15,0.22058823529411764,0.17647058823529413,0.196078431372549,40.0,45.266666666666666
50,0.22,0.0,200,85,68,31,0.45588235294117646,0.36470588235294116,0.40522875816993464,109.0,103.80645161290323
50,0.22,0.0,300,85,68,38,0.5588235294117647,0.4470588235294118,0.4967320261437909,129.5,133.8684210526316
50,0.22,80.0,100,81,68,15,0.22058823529411764,0.18518518518518517,0.20134228187919462,40.0,45.266666666666666
50,0.22,80.0,200,81,68,31,0.45588235294117646,0.38271604938271603,0.4161073825503355,109.0,103.80645161290323
50,0.22,80.0,300,81,68,38,0.5588235294117647,0.4691358024691358,0.5100671140939597,129.5,133.8684210526316
